date,asset,market_cap_usd,volume_usd,close_usd
2026-01-01,BTC,1775239975690.24,552991635.2911001,88839.04
2026-01-02,BTC,1798341724465.28,1558958860.8870876,89995.13
2026-01-03,BTC,1810988347794.5598,635514773.6093655,90628.01
2026-01-04,BTC,1829007108362.88,952160980.5212084,91529.73
2026-01-05,BTC,1875566297189.76,1927455243.548076,93859.71
2026-01-06,BTC,1873333435208.32,1728045542.298375,93747.97
2026-01-07,BTC,1825698580008.96,1311906952.9749737,91364.16
2026-01-08,BTC,1820419761773.4402,1460622501.2073882,91099.99
2026-01-09,BTC,1811253517639.68,1416907180.1870482,90641.28
2026-01-10,BTC,1808524286483.2,281321375.4802981,90504.7
2026-01-11,BTC,1818694459254.4,497245863.9319499,91013.65
2026-01-12,BTC,1824340558707.2,1479964862.2693064,91296.2
2026-01-13,BTC,1906625139584.0,2149770801.117704,95414.0
2026-01-14,BTC,1937354068327.68,2201535821.648615,96951.78
2026-01-15,BTC,1910437830348.8,2093008182.8437335,95604.8
2026-01-16,BTC,1909361564496.6401,1064019408.0772514,95550.94
2026-01-17,BTC,1901305157077.12,408161941.6719079,95147.77
2026-01-18,BTC,1871838133059.84,654773743.2677118,93673.14
2026-01-19,BTC,1851013407936.0,1326770336.049047,92631.0
2026-01-20,BTC,1767019510664.96,1989676668.5941782,88427.66
2026-01-21,BTC,1787543097162.88,1837708115.3597033,89454.73
2026-01-22,BTC,1789640077083.52,969910623.3559886,89559.67
2026-01-23,BTC,1790451173090.5598,1248772265.678843,89600.26
2026-01-24,BTC,1782959275703.04,378464146.0918812,89225.34
2026-01-25,BTC,1731903989276.16,1264233689.841581,86670.36
2026-01-26,BTC,1765409308244.48,1560135758.989215,88347.08
2026-01-27,BTC,1783452048000.0,1160026853.5895033,89250.0
2026-01-28,BTC,1784450980973.4402,1283919840.851472,89299.99
2026-01-29,BTC,1691535027624.96,2610381587.9100037,84650.16
2026-01-30,BTC,1683748386061.4402,2918624066.481832,84260.49
2026-01-31,BTC,1573456114535.04,3155264093.623044,78741.09
2026-01-01,ETH,362586438568.37585,406547667.098154,3004.19
2026-01-02,ETH,377221741775.1641,1137619077.204739,3125.45
2026-01-03,ETH,377422093113.80237,417746796.512137,3127.11
2026-01-04,ETH,379545093141.90234,570517585.648554,3144.7
2026-01-05,ETH,389235580478.80676,1219648843.481487,3224.99
2026-01-06,ETH,397907414021.6712,1340863819.954255,3296.84
2026-01-07,ETH,382444152873.2816,1027448724.687839,3168.72
2026-01-08,ETH,374952702518.2977,1069846020.042703,3106.65
2026-01-09,ETH,372750044729.0524,851846982.925553,3088.4
2026-01-10,ETH,372547279518.8643,254495724.002643,3086.72
2026-01-11,ETH,376980354620.17834,465227647.583002,3123.45
2026-01-12,ETH,373637142523.6252,928024542.296001,3095.75
2026-01-13,ETH,401405113897.4152,1470983302.124877,3325.82
2026-01-14,ETH,404917297002.45844,1682648500.339798,3354.92
2026-01-15,ETH,400544568689.89087,1296628250.56622,3318.69
2026-01-16,ETH,397839825618.27515,737278508.749833,3296.28
2026-01-17,ETH,399563329904.87366,411508868.39151,3310.56
2026-01-18,ETH,396361329293.98724,576301516.530256,3284.03
2026-01-19,ETH,384958200092.4586,1421588263.898261,3189.55
2026-01-20,ETH,354824634599.8079,1586973026.80606,2939.88
2026-01-21,ETH,359940835349.7316,1712903183.812053,2982.27
2026-01-22,ETH,356370719327.4919,867206892.239138,2952.69
2026-01-23,ETH,356819699435.7654,939757975.669515,2956.41
2026-01-24,ETH,356434686923.56305,272517275.860426,2953.22
2026-01-25,ETH,339980531503.9569,1088137895.952771,2816.89
2026-01-26,ETH,353674424806.3006,1405058143.578595,2930.35
2026-01-27,ETH,365311699548.1654,1416537368.433361,3026.77
2026-01-28,ETH,363381809244.0541,894057677.740365,3010.78
2026-01-29,ETH,340668484895.66644,1601894306.039813,2822.59
2026-01-30,ETH,326763377832.71014,2161851949.088385,2707.38
2026-01-31,ETH,295934617333.7003,2759353621.321312,2451.95
