rank,name,slug,volume30d_usd,prev30d_est_usd,pct30d,volume7d_usd,pct7d,volume24h_usd,pct24h,spot24h_usd,deriv24h_usd,spot_share_24h_pct
1,Binance,binance,1308610803345.3816,1359691255871.2695,-3.75676848,1219325856249.3604,29.23161448,60384059040.59289,-26.25955512,10496250701.23975,49887808339.353134,17.382486152816753
2,Coinbase Exchange,coinbase-exchange,51462562404.26373,45402868773.16857,13.34649945,35684100496.06079,31.16259524,2040400398.535498,-32.14007468,2040400398.535498,0.0,100.0
3,Upbit,upbit,38455757612.74551,47545382695.05773,-19.11778719,11106374630.525562,-12.95740233,1203371542.7918065,-42.66189076,1203371542.7918065,0.0,100.0
6,OKX,okx,706233345885.3269,704671897252.4563,0.2215852,141040929571.66068,33.91724597,24169046217.61658,-31.32327148,1835607818.9789236,22372215745.94235,7.582704880742934
7,Bybit,bybit,551888141910.9197,577190881430.2158,-4.38377326,117542549666.69061,33.20516632,17647416814.2361,-31.98122443,2262030453.5059147,15385386360.730183,12.817912543897892
8,Bitget,bitget,289250040290.82434,331089100793.9777,-12.63679789,73945965079.3198,26.96751,9902134050.52437,-26.63973133,1230096897.0620835,8672037153.462286,12.422543370809482
9,Gate,gate,434943964246.42017,442084055740.5475,-1.61509817,103311875616.14229,28.81411301,17719055653.452347,-28.04555019,2251908486.249829,15467147167.202517,12.708964463414116
10,KuCoin,kucoin,196121425587.60947,170911306404.56946,14.75041044,75275964265.21127,-47.33712849,6265759270.4078865,-46.25954935,2181944992.928532,4083814277.479355,34.82331348466396
14,MEXC,mexc,211839375374.28067,215284868182.80255,-1.60043427,56464920529.626564,7.26169509,13722307341.130907,-20.01882885,2554600256.489606,11167707084.6413,18.616404610269225
23,HTX,htx,160861109715.24625,168109165028.04297,-4.31151705,31253276661.017635,40.80961821,4555405281.67644,-10.15460183,1523868565.9107573,3031536715.7656827,33.45187687339987
