date,Bitcoin,Ethereum,Memecoin
2026-02-01,45,6,0
2026-02-02,44,6,0
2026-02-03,40,5,0
2026-02-04,43,5,0
2026-02-05,88,9,0
2026-02-06,100,8,0
2026-02-07,53,5,0
2026-02-08,44,5,0
2026-02-09,43,5,0
2026-02-10,39,5,0
2026-02-11,44,5,0
2026-02-12,43,5,0
2026-02-13,37,4,0
2026-02-14,25,3,0
2026-02-15,24,3,0
2026-02-16,27,3,0
2026-02-17,26,3,0
2026-02-18,25,3,0
2026-02-19,25,3,0
2026-02-20,24,2,0
2026-02-21,20,2,0
2026-02-22,19,2,0
2026-02-23,29,3,0
2026-02-24,29,3,0
2026-02-25,27,3,0
2026-02-26,25,3,0
2026-02-27,24,3,0
2026-02-28,24,3,0
