rank,name,slug,last_updated,volume30d_usd,prev30d_est_usd,percent_change_volume30d,volume7d_usd,percent_change_volume7d,volume24h_usd,percent_change_volume24h,spot_volume_24h_usd,deriv_volume_24h_usd,spot_share_24h_pct
1,Binance,binance,2026-02-27T08:47:14.000Z,1308840137809.0771,1354629843634.3333,-3.38023749,1219503302154.7812,29.61628083,60515789518.22268,-26.13051454,10555083105.233665,49960706412.98901,17.44186631169257
2,Coinbase Exchange,coinbase-exchange,2026-02-27T08:47:14.000Z,51467961560.61803,45291643540.83491,13.63677168,35688502286.57129,31.82236505,2029507196.3520727,-32.25853166,2029507196.3520727,0.0,100.0
3,Upbit,upbit,2026-02-27T08:47:14.000Z,38460823233.73446,47375490197.28757,-18.81704427,11128081034.88578,-11.62974884,1204962494.3287358,-42.74543853,1204962494.3287358,0.0,100.0
6,OKX,okx,2026-02-27T08:47:15.000Z,706230944286.62,704412965368.0471,0.25808425,141028215102.71198,33.82016216,24139755259.12556,-31.29493904,1838471441.3491423,22340061165.081112,7.603734566010026
7,Bybit,bybit,2026-02-27T08:47:14.000Z,651438922744.3837,681196428436.573,-4.36841775,117561171157.4145,33.37896179,17655442726.639965,-32.10442165,2267909456.672069,15387533269.967896,12.845384235253773
8,Bitget,bitget,2026-02-27T08:47:14.000Z,289254440784.43134,331050362356.46533,-12.62524568,73954194115.37561,27.09669199,9906131747.947407,-27.00555957,1230086160.9215355,8676045587.025871,12.417421776935427
9,Gate,gate,2026-02-27T08:47:14.000Z,434977924707.693,442372473676.9673,-1.67156625,103312389121.74982,28.83623732,17624026268.56534,-28.15945163,2261090877.4578605,15362935391.10748,12.829593209871684
10,KuCoin,kucoin,2026-02-27T08:47:14.000Z,196118769519.87622,170986188369.781,14.69860308,75290746811.62015,-47.27767413,6271198567.121619,-46.23271664,2183976012.4547205,4087222554.6668987,34.825496100614316
14,MEXC,mexc,2026-02-27T08:47:15.000Z,211853623600.7025,214632838810.3687,-1.29486952,56483146660.42757,7.48706378,13646974567.711338,-19.81939639,2555082209.123235,11091892358.588104,18.72270074547178
23,HTX,htx,2026-02-27T08:47:15.000Z,160853734646.23724,168590983792.5327,-4.58936117,31230466709.788315,40.13605978,4527772116.712895,-10.87156988,1507143937.2030199,3020628179.509876,33.286656182184075
