date,btc_dvol_close,eth_dvol_close
2026-03-01,55.07,72.6
2026-03-02,53.38,73.13
2026-03-03,55.41,73.82
2026-03-04,55.5,75.02
2026-03-05,54.71,76.21
2026-03-06,55.52,76.22
2026-03-07,58.63,76.99
2026-03-08,60.45,78.42
2026-03-09,55.49,74.92
2026-03-10,55.04,75.51
2026-03-11,53.93,74.76
2026-03-12,54.26,74.38
2026-03-13,52.98,74.8
2026-03-14,53.26,75.83
2026-03-15,52.89,76.1
2026-03-16,52.81,75.67
2026-03-17,51.42,75.88
2026-03-18,53.77,78.01
2026-03-19,54.27,79.33
2026-03-20,54.44,78.53
2026-03-21,55.22,79.06
2026-03-22,56.74,79.11
2026-03-23,53.53,75.53
2026-03-24,52.68,74.99
2026-03-25,51.04,73.94
2026-03-26,52.54,75.08
2026-03-27,53.71,73.49
2026-03-28,53.74,74.53
2026-03-29,54.56,74.49
2026-03-30,55.3,74.58
2026-03-31,52.25,72.37
