id,symbol,name,start_price_usd,end_price_usd,monthly_change_pct
bitcoin,btc,Bitcoin,88464.97079663316,65928.0,-25.47558722247482
ethereum,eth,Ethereum,2988.455048231272,1929.4,-35.43821242544964
tether,usdt,Tether,0.9986343036156994,1.0,0.13675640615949142
binancecoin,bnb,BNB,898.4241414892226,613.8,-31.680375486953338
ripple,xrp,XRP,1.888545802633165,1.36,-27.98691998341915
usd-coin,usdc,USDC,0.9996164300455709,0.999956,0.033970025323963135
solana,sol,Solana,124.18491121196857,82.08,-33.905013742048425
tron,trx,TRON,0.2945984101905317,0.282706,-4.036820898945197
figure-heloc,figr_heloc,Figure Heloc,1.0278508427542208,1.049,2.05760956415699
dogecoin,doge,Dogecoin,0.12322247744794763,0.093647,-24.001690325079757
